
4K频道,#genre#
4K60PHLG-HEVC-EAC3测试,http://159.75.85.63:5680/d/ad/playad.m3u8
4K60PSDR-H264-AAC测试,http://159.75.85.63:5680/d/ad/h264/playad.m3u8

广东,#genre#
广东4K超高清,https://live.goodiptv.club/api/itouch.php?id=1198
广东体育,https://live.goodiptv.club/api/itouch.php?id=1184
广东国际,https://live.goodiptv.club/api/itouch.php?id=1191
广东少儿,https://live.goodiptv.club/api/itouch.php?id=1200
广东影视,https://live.goodiptv.club/api/itouch.php?id=1199
广东新闻,https://live.goodiptv.club/api/itouch.php?id=1186
广东新闻,https://live.goodiptv.club/api/itouch.php?id=2512
广东民生,https://live.goodiptv.club/api/itouch.php?id=1185
广东珠江,https://live.goodiptv.club/api/itouch.php?id=1183
广东移动,https://live.goodiptv.club/api/itouch.php?id=2463
广东经济科教,https://live.goodiptv.club/api/itouch.php?id=1196

卫视,#genre#
大湾区卫视,https://live.goodiptv.club/api/itouch.php?id=1197
广东卫视,https://live.goodiptv.club/api/itouch.php?id=1182

其他,#genre#
Fm92.9,https://live.goodiptv.club/api/itouch.php?id=2526
Fm94.9,https://live.goodiptv.club/api/itouch.php?id=2527
GRTN文化频道,https://live.goodiptv.club/api/itouch.php?id=2511
东源电台,https://live.goodiptv.club/api/itouch.php?id=2498
东源频道,https://live.goodiptv.club/api/itouch.php?id=2497
东莞公共,https://live.goodiptv.club/api/itouch.php?id=1235
东莞新闻综合,https://live.goodiptv.club/api/itouch.php?id=2395
乐昌电台,https://live.goodiptv.club/api/itouch.php?id=2504
乐昌电视台,https://live.goodiptv.club/api/itouch.php?id=2503
乳源电视台,https://live.goodiptv.club/api/itouch.php?id=2469
交通之声,https://live.goodiptv.club/api/itouch.php?id=2515
佛冈综合,https://live.goodiptv.club/api/itouch.php?id=2460
信宜电台,https://live.goodiptv.club/api/itouch.php?id=2473
信宜综合,https://live.goodiptv.club/api/itouch.php?id=2471
化州电台,https://live.goodiptv.club/api/itouch.php?id=2449
化州综合,https://live.goodiptv.club/api/itouch.php?id=2440
南方生活,https://live.goodiptv.club/api/itouch.php?id=2518
博罗人民广播电台,https://live.goodiptv.club/api/itouch.php?id=2521
台山台,https://live.goodiptv.club/api/itouch.php?id=2479
台山电台,https://live.goodiptv.club/api/itouch.php?id=2480
吴川综合,https://live.goodiptv.club/api/itouch.php?id=2499
嘉佳卡通,https://live.goodiptv.club/api/itouch.php?id=1187
四会电台,https://live.goodiptv.club/api/itouch.php?id=2410
城市之声,https://live.goodiptv.club/api/itouch.php?id=2519
广宁电台,https://live.goodiptv.club/api/itouch.php?id=2430
广宁综合,https://live.goodiptv.club/api/itouch.php?id=2414
廉江台,https://live.goodiptv.club/api/itouch.php?id=2445
廉江电台,https://live.goodiptv.club/api/itouch.php?id=2411
开平生活,https://live.goodiptv.club/api/itouch.php?id=2406
开平综合,https://live.goodiptv.club/api/itouch.php?id=2405
徐闻台,https://live.goodiptv.club/api/itouch.php?id=2474
徐闻电台,https://live.goodiptv.club/api/itouch.php?id=2475
怀集电台,https://live.goodiptv.club/api/itouch.php?id=2486
怀集综合,https://live.goodiptv.club/api/itouch.php?id=2462
恩平电台,https://live.goodiptv.club/api/itouch.php?id=2481
惠东综合广播,https://live.goodiptv.club/api/itouch.php?id=2443
惠东综合频道,https://live.goodiptv.club/api/itouch.php?id=2404
惠阳电台,https://live.goodiptv.club/api/itouch.php?id=2478
惠阳电视台,https://live.goodiptv.club/api/itouch.php?id=2470
文体广播,https://live.goodiptv.club/api/itouch.php?id=2517
新会电台,https://live.goodiptv.club/api/itouch.php?id=2489
新会综合,https://live.goodiptv.club/api/itouch.php?id=2490
新兴电台,https://live.goodiptv.club/api/itouch.php?id=2484
普宁台,https://live.goodiptv.club/api/itouch.php?id=2450
普宁电台,https://live.goodiptv.club/api/itouch.php?id=2501
河源公共,https://live.goodiptv.club/api/itouch.php?id=2496
河源综合,https://live.goodiptv.club/api/itouch.php?id=2402
海丰县广播电视台,https://live.goodiptv.club/api/itouch.php?id=2413
海丰电台,https://live.goodiptv.club/api/itouch.php?id=2464
深圳电视台公共频道,https://live.goodiptv.club/api/itouch.php?id=1213
深圳电视台国际频道(亚洲),https://live.goodiptv.club/api/itouch.php?id=1214
深圳电视台娱乐频道,https://live.goodiptv.club/api/itouch.php?id=1210
深圳电视台宜和购物频道,https://live.goodiptv.club/api/itouch.php?id=1219
深圳电视台少儿频道,https://live.goodiptv.club/api/itouch.php?id=1212
深圳电视台电视剧频道,https://live.goodiptv.club/api/itouch.php?id=1208
