
4K频道,#genre#
4K60PHLG-HEVC-EAC3测试,http://159.75.85.63:5680/d/ad/playad.m3u8
4K60PSDR-H264-AAC测试,http://159.75.85.63:5680/d/ad/h264/playad.m3u8
CCTV-4K,https://live.goodiptv.club/api/ghyx.php?id=CCTV4K_25000
CCTV16-4K,https://live.goodiptv.club/api/ghyx.php?id=CCTV16UHD_25000

央视,#genre#
CCTV1,https://live.goodiptv.club/api/ghyx.php?id=CCTV1HD_6000
CCTV10,https://live.goodiptv.club/api/ghyx.php?id=CCTV10HD_6000
CCTV11,https://live.goodiptv.club/api/ghyx.php?id=CCTV11HD2_6000
CCTV12,https://live.goodiptv.club/api/ghyx.php?id=CCTV12HD_6000
CCTV13,https://live.goodiptv.club/api/ghyx.php?id=CCTV13HD2_6000
CCTV14,https://live.goodiptv.club/api/ghyx.php?id=CCTV14HD_6000
CCTV15,https://live.goodiptv.club/api/ghyx.php?id=CCTV15HD_6000
CCTV16,https://live.goodiptv.club/api/ghyx.php?id=CCTV16HD_6000
CCTV17,https://live.goodiptv.club/api/ghyx.php?id=CCTV17HD_6000
CCTV2,https://live.goodiptv.club/api/ghyx.php?id=CCTV2HD_6000
CCTV3,https://live.goodiptv.club/api/ghyx.php?id=CCTV3HD_6000
CCTV4,https://live.goodiptv.club/api/ghyx.php?id=CCTV4HD_6000
CCTV5+,https://live.goodiptv.club/api/ghyx.php?id=CCTV5plusHD_6000
CCTV5,https://live.goodiptv.club/api/ghyx.php?id=CCTV5HD_6000
CCTV6,https://live.goodiptv.club/api/ghyx.php?id=CCTV6HD_6000
CCTV7,https://live.goodiptv.club/api/ghyx.php?id=CCTV7HD_6000
CCTV8,https://live.goodiptv.club/api/ghyx.php?id=CCTV8HD_6000
CCTV9,https://live.goodiptv.club/api/ghyx.php?id=CCTV9HD_6000
老故事,https://live.goodiptv.club/api/ghyx.php?id=LaoGuShiHD_2000

其他,#genre#
CETV1,https://live.goodiptv.club/api/ghyx.php?id=CETV1HD_6000
CETV3,https://live.goodiptv.club/api/ghyx.php?id=CETV3HD_2000
CETV4,https://live.goodiptv.club/api/ghyx.php?id=CETV4HD_2000
CHC动作电影,https://live.goodiptv.club/api/ghyx.php?id=MotionHD_2000
CHC家庭影院,https://live.goodiptv.club/api/ghyx.php?id=CHCHD_2000
CHC高清电影,https://live.goodiptv.club/api/ghyx.php?id=CHCHD2_6000
东方财经,https://live.goodiptv.club/api/ghyx.php?id=DongFangCaiJingHD_6000
中华特产,https://live.goodiptv.club/api/ghyx.php?id=KaoShiZaiXianHD_2000
中华美食,https://live.goodiptv.club/api/ghyx.php?id=ZhongHuaMeiShiHD_2000
中国天气,https://live.goodiptv.club/api/ghyx.php?id=ChinaQiXiangPinDaoHD_2000
乐游,https://live.goodiptv.club/api/ghyx.php?id=QuanJiShiHD_6000
书画频道,https://live.goodiptv.club/api/ghyx.php?id=ShuHuaPinDaoHD_2000
京视剧场,https://live.goodiptv.club/api/ghyx.php?id=JinShiJuChangHD_2000
优优宝贝,https://live.goodiptv.club/api/ghyx.php?id=YouYouBaoBeiHD_2000
优购物,https://live.goodiptv.club/api/ghyx.php?id=YouGouWuHD_2000
动感音乐,https://live.goodiptv.club/api/ghyx.php?id=DongGanYinYueHD_2000
动漫秀场,https://live.goodiptv.club/api/ghyx.php?id=DongManXiuChangHD_6000
劲爆体育,https://live.goodiptv.club/api/ghyx.php?id=JinBaoTiYuHD_6000
发现之旅,https://live.goodiptv.club/api/ghyx.php?id=FaXianZhiLvHD_2000
四海钓鱼,https://live.goodiptv.club/api/ghyx.php?id=SiHaiDiaoYuHD_2000
天元围棋,https://live.goodiptv.club/api/ghyx.php?id=TianYuanWeiQiHD_2000
央广购物,https://live.goodiptv.club/api/ghyx.php?id=YangShiGouWuHD_2000
家有购物,https://live.goodiptv.club/api/ghyx.php?id=JiaYouGouWuHD_2000
弈坛春秋,https://live.goodiptv.club/api/ghyx.php?id=YiTanChunQiuHD_2000
收藏天下,https://live.goodiptv.club/api/ghyx.php?id=ShouCangTianXiaHD_2000
早期教育,https://live.goodiptv.club/api/ghyx.php?id=ZaoQiJiaoYuHD_2000
时尚购物,https://live.goodiptv.club/api/ghyx.php?id=ShiShangGouWuHD_2000
歌华导视,https://live.goodiptv.club/api/ghyx.php?id=GeHuadaoshiHD_6000
法治天地,https://live.goodiptv.club/api/ghyx.php?id=FaZhiTianDiHD_2000
游戏风云,https://live.goodiptv.club/api/ghyx.php?id=YouXiFengYunHD_6000
爱家购物,https://live.goodiptv.club/api/ghyx.php?id=AiJiaGouWuHD_6000
