
4K频道,#genre#
4K60PHLG-HEVC-EAC3测试,http://159.75.85.63:5680/d/ad/playad.m3u8
4K60PSDR-H264-AAC测试,http://159.75.85.63:5680/d/ad/h264/playad.m3u8

央视,#genre#
CCTV1,https://live.metshop.top/msp.php?id=cctv1
CCTV10,https://live.metshop.top/msp.php?id=cctv10
CCTV11,https://live.metshop.top/msp.php?id=cctv11
CCTV12,https://live.metshop.top/msp.php?id=cctv12
CCTV13,https://live.metshop.top/msp.php?id=cctv13
CCTV14,https://live.metshop.top/msp.php?id=cctv14
CCTV15,https://live.metshop.top/msp.php?id=cctv15
CCTV16,https://live.metshop.top/msp.php?id=cctv16
CCTV16,https://live.metshop.top/msp.php?id=cctv16-4k
CCTV17,https://live.metshop.top/msp.php?id=cctv17
CCTV2,https://live.metshop.top/msp.php?id=cctv2
CCTV3,https://live.metshop.top/msp.php?id=cctv3
CCTV4,https://live.metshop.top/msp.php?id=cctv4
CCTV4K,https://live.metshop.top/msp.php?id=cctv4k
CCTV5+,https://live.metshop.top/msp.php?id=cctv5p
CCTV5,https://live.metshop.top/msp.php?id=cctv5
CCTV6,https://live.metshop.top/msp.php?id=cctv6
CCTV7,https://live.metshop.top/msp.php?id=cctv7
CCTV8,https://live.metshop.top/msp.php?id=cctv8
CCTV8K,https://live.metshop.top/msp.php?id=cctv8k
CCTV9,https://live.metshop.top/msp.php?id=cctv9
CGTN,https://live.metshop.top/msp.php?id=cgtn
CGTN俄语,https://live.metshop.top/msp.php?id=cgtnr
CGTN法语,https://live.metshop.top/msp.php?id=cgtnf
CGTN纪录,https://live.metshop.top/msp.php?id=cgtnjl
CGTN西语,https://live.metshop.top/msp.php?id=cgtne
CGTN阿语,https://live.metshop.top/msp.php?id=cgtna
世界地理,https://live.metshop.top/msp.php?id=sjdl
兵器科技,https://live.metshop.top/msp.php?id=bqkj
卫生健康,https://live.metshop.top/msp.php?id=wsjk
央视台球,https://live.metshop.top/msp.php?id=ystq
女性时尚,https://live.metshop.top/msp.php?id=nxss
怀旧剧场,https://live.metshop.top/msp.php?id=hjjc
文化精品,https://live.metshop.top/msp.php?id=whjp
江西电视指南,https://live.metshop.top/msp.php?id=dszn
第一剧场,https://live.metshop.top/msp.php?id=dyjc
风云剧场,https://live.metshop.top/msp.php?id=fyjc
风云足球,https://live.metshop.top/msp.php?id=fyzq
风云音乐,https://live.metshop.top/msp.php?id=fyyy
高尔夫网球,https://live.metshop.top/msp.php?id=gefwq

卫视,#genre#
东南卫视,https://live.metshop.top/msp.php?id=dnws
东方卫视,https://live.metshop.top/msp.php?id=dfws
北京卫视,https://live.metshop.top/msp.php?id=bjws
四川卫视,https://live.metshop.top/msp.php?id=scws
天津卫视,https://live.metshop.top/msp.php?id=tjws
安徽卫视,https://live.metshop.top/msp.php?id=ahws
山东卫视,https://live.metshop.top/msp.php?id=sdws
广东卫视,https://live.metshop.top/msp.php?id=gdws
广西卫视,https://live.metshop.top/msp.php?id=gxws
新疆卫视,https://live.metshop.top/msp.php?id=xjws
江苏卫视,https://live.metshop.top/msp.php?id=jsws
江西卫视,https://live.metshop.top/msp.php?id=jxws
河北卫视,https://live.metshop.top/msp.php?id=hbws
河南卫视,https://live.metshop.top/msp.php?id=hnws
浙江卫视,https://live.metshop.top/msp.php?id=zjws
海南卫视,https://live.metshop.top/msp.php?id=hinws
深圳卫视,https://live.metshop.top/msp.php?id=szws
湖北卫视,https://live.metshop.top/msp.php?id=hubws
湖南卫视,https://live.metshop.top/msp.php?id=hunws
贵州卫视,https://live.metshop.top/msp.php?id=gzws
辽宁卫视,https://live.metshop.top/msp.php?id=lnws
重庆卫视,https://live.metshop.top/msp.php?id=cqws
黑龙江卫视,https://live.metshop.top/msp.php?id=hljws
