
4K频道,#genre#
CCTV-4K,https://live.goodiptv.club/api/cqyx.php?id=CCTV4K
CCTV16-4K,https://live.goodiptv.club/api/cqyx.php?id=CCTV16_4K
欢笑剧场4K,https://live.goodiptv.club/api/cqyx.php?id=hxjc_4K

央视,#genre#
CCTV10,https://live.goodiptv.club/api/cqyx.php?id=cctv10HD
CCTV11,https://live.goodiptv.club/api/cqyx.php?id=cctv11HD
CCTV12,https://live.goodiptv.club/api/cqyx.php?id=cctv12HD
CCTV13,https://live.goodiptv.club/api/cqyx.php?id=CCTVNewsHD
CCTV14,https://live.goodiptv.club/api/cqyx.php?id=cctvseHD
CCTV15,https://live.goodiptv.club/api/cqyx.php?id=cctv15HD
CCTV16,https://live.goodiptv.club/api/cqyx.php?id=cctv16HD
CCTV17,https://live.goodiptv.club/api/cqyx.php?id=cctv17HD
CCTV1,https://live.goodiptv.club/api/cqyx.php?id=cctv1HD
CCTV2,https://live.goodiptv.club/api/cqyx.php?id=cctv2HD
CCTV3,https://live.goodiptv.club/api/cqyx.php?id=cctv3HD
CCTV4,https://live.goodiptv.club/api/cqyx.php?id=cctv4HD
CCTV5+,https://live.goodiptv.club/api/cqyx.php?id=cctv5SportHD
CCTV5,https://live.goodiptv.club/api/cqyx.php?id=cctv5HD
CCTV6,https://live.goodiptv.club/api/cqyx.php?id=cctv6HD
CCTV7,https://live.goodiptv.club/api/cqyx.php?id=cctv7HD
CCTV8,https://live.goodiptv.club/api/cqyx.php?id=cctv8HD
CCTV9,https://live.goodiptv.club/api/cqyx.php?id=cctv9HD
CGTN,https://live.goodiptv.club/api/cqyx.php?id=cgtnSD
中学生,https://live.goodiptv.club/api/cqyx.php?id=qicai
兵器科技,https://live.goodiptv.club/api/cqyx.php?id=bqkjHD
央视台球,https://live.goodiptv.club/api/cqyx.php?id=ystqHD
央视文化精品,https://live.goodiptv.club/api/cqyx.php?id=yswhHD
女性时尚,https://live.goodiptv.club/api/cqyx.php?id=nvxing
怀旧剧场,https://live.goodiptv.club/api/cqyx.php?id=hjjcHD
第一剧场,https://live.goodiptv.club/api/cqyx.php?id=diyijuchangHD
老故事,https://live.goodiptv.club/api/cqyx.php?id=gushi
风云剧场,https://live.goodiptv.club/api/cqyx.php?id=fyjcHD
风云足球,https://live.goodiptv.club/api/cqyx.php?id=fyzqHD
风云音乐,https://live.goodiptv.club/api/cqyx.php?id=fyyyHD
高尔夫网球,https://live.goodiptv.club/api/cqyx.php?id=golfHD

卫视,#genre#
三沙卫视,https://live.goodiptv.club/api/cqyx.php?id=sanshaSD
